Bird Name	Folder
Greater Prairie-Chicken	Greater_Prairie-Chicken
Greater Roadrunner	Greater_Roadrunner
Greater Sage-Grouse	Sage_Grouse
Greater Sand-Plover	Greater_Sand-Plover
Greater Scaup	Greater_Scaup
Greater White-fronted Goose	Greater_White-fronted_Goose
Greater Yellowlegs	Greater_Yellowlegs
Green Heron	Green_Heron
Green Jay	Green_Jay
Green Kingfisher	Green_Kingfisher
Green Parakeet	Green_Parakeet
Green Sandpiper	Green_Sandpiper
Green-breasted Mango	Green-breasted_Mango
Green-tailed Towhee	Green-tailed_Towhee
Green-winged Teal	Green-winged_Teal
Greenish Elaenia	Greenish_Elaenia
Groove-billed Ani	Groove-billed_Ani
Guadalupe Murrelet	Guadalupe_Murrelet
Gull-billed Tern	Gull-billed_Tern
Gunnison Sage-Grouse	Gunnison_Sage-Grouse
Gyrfalcon	Gyrfalcon
Hairy Woodpecker	Hairy_Woodpecker
Hammond's Flycatcher	Hammonds_Flycatcher
Harlequin Duck	Harlequin_Duck
Harris's Hawk	Harriss_Hawk
Harris's Sparrow	Harriss_Sparrow
Hawaii Akepa	Hawaii_Akepa
Hawaii Amakihi	Hawaii_Amakihi
Hawaii Creeper	Hawaii_Creeper
Hawaii Elepaio	Hawaii_Elepaio
Hawaii Mamo	Hawaii_Mamo
Hawaii Oo	Hawaii_Oo
Hawaiian Coot	Hawaiian_Coot
Hawaiian Crow	Hawaiian_Crow
Hawaiian Duck	Hawaiian_Duck
Hawaiian Goose	Hawaiian_Goose
Hawaiian Hawk	Hawaiian_Hawk
Hawaiian Petrel	Hawaiian_Petrel
Hawaiian Rail	Hawaiian_Rail
Hawfinch	Hawfinch
Heermann's Gull	Heermanns_Gull
Hen Harrier	Hen_Harrier
Henslow's Sparrow	Henslows_Sparrow
Hepatic Tanager	Hepatic_Tanager
Herald Petrel	Herald_Petrel
Hermit Thrush	Hermit_Thrush
Hermit Warbler	Hermit_Warbler
Herring Gull	Herring_Gull
Himalayan Snowcock	Himalayan_Snowcock
Hoary Redpoll	Hoary_Redpoll
Hooded Crane	Hooded_Crane
Hooded Crow	Hooded_Crow
Hooded Merganser	Hooded_Merganser
Hooded Oriole	Hooded_Oriole
Hooded Warbler	Hooded_Warbler
Hook-billed Kite	Hook-billed_Kite
Horned Grebe	Horned_Grebe
Horned Lark	Horned_Lark
Horned Puffin	Horned_Puffin
House Crow	House_Crow
House Finch	House_Finch
House Sparrow	House_Sparrow
Hudsonian Godwit	Hudsonian_Godwit
Hudsonian Whimbrel	Whimbrel
Hutton's Vireo	Huttons_Vireo
Iceland Gull	Iceland_Gull
Icterine Warbler	Icterine_Warbler
Iiwi	Iiwi
Inca Dove	Inca_Dove
Inca Tern	Inca_Tern
Indian Peafowl	Indian_Peafowl
Indigo Bunting	Indigo_Bunting
Island Canary	Island_Canary
Island Scrub-Jay	Island_Scrub-Jay
Ivory Gull	Ivory_Gull
Ivory-billed Woodpecker	Ivory-billed_Woodpecker
Jabiru	Jabiru
Jack Snipe	Jack_Snipe
Japanese Bush Warbler	Japanese_Bush_Warbler
Japanese Quail*	Japanese_Quail*
Java Sparrow	Java_Sparrow
Jouanin's Petrel	Jouanins_Petrel
Juan Fernandez Petrel	Juan_Fernandez_Petrel
Juniper Titmouse	Juniper_Titmouse
Kakawahie	Kakawahie
Kalij Pheasant	Kalij_Pheasant
Kamao	Kamao
Kamchatka Leaf Warbler	Kamchatka_Leaf_Warbler
Kauai Akialoa	Kauai_Akialoa
Kauai Amakihi	Kauai_Amakihi
Kauai Elepaio	Kauai_Elepaio
Kauai Nukupuu	Kauai_Nukupuu
Kauai Oo	Kauai_Oo
Kelp Gull	Kelp_Gull
Kentish Plover	Kentish_Plover
Kentucky Warbler	Kentucky_Warbler
Kermadec Petrel	Kermadec_Petrel
Key West Quail-Dove	Key_West_Quail-Dove
Killdeer	Killdeer
King Eider	King_Eider
King Rail	King_Rail
Kioea	Kioea
Kirtland's Warbler	Kirtlands_Warbler
Kittlitz's Murrelet	Kittlitzs_Murrelet
Kona Grosbeak	Kona_Grosbeak
La Sagra's Flycatcher	La_Sagras_Flycatcher
Labrador Duck	Labrador_Duck
Ladder-backed Woodpecker	Ladder-backed_Woodpecker
Lanai Hookbill	Lanai_Hookbill
Lanceolated Warbler	Lanceolated_Warbler
Lapland Longspur	Lapland_Longspur
Large-billed Tern	Large-billed_Tern
Lark Bunting	Lark_Bunting
Lark Sparrow	Lark_Sparrow
Laughing Gull	Laughing_Gull
Lavender Waxbill	Lavender_Waxbill
Lawrence's Goldfinch	Lawrences_Goldfinch
Laysan Albatross	Laysan_Albatross
Laysan Duck	Laysan_Duck
Laysan Finch	Laysan_Finch
Laysan Honeycreeper	Laysan_Honeycreeper
Laysan Rail	Laysan_Rail
Lazuli Bunting	Lazuli_Bunting
Leach's Storm-Petrel	Leachs_Storm-Petrel
